tau,I2,b1,q_analytic,q_DP,diff,dispatch_analytic,dispatch_DP,q_circ,S,Cf,S_minus_Cf,N_profitable,m_c,retained_DP,retained_predicted
0.25,1,1,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,2,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,3,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,4,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,5,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,6,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,7,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,8,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,9,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,10,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,11,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,12,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,13,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,14,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,15,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,16,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,17,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,18,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,19,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,20,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,21,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,22,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,23,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,24,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,25,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,26,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,27,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,28,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,29,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,1,30,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,1,1
0.25,2,1,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,2,2
0.25,2,2,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,2,2
0.25,2,3,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,2,2
0.25,2,4,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,2,2
0.25,2,5,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,2,2
0.25,2,6,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,2,2
0.25,2,7,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,2,2
0.25,2,8,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,2,2
0.25,2,9,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,2,2
0.25,2,10,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,2,2
0.25,2,11,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,2,2
0.25,2,12,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,2,2
0.25,2,13,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,2,2
0.25,2,14,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,2,2
0.25,2,15,0,0,0,0,0,0,0.0,20.0,-20.0,0,-1,2,2
